PCODE,HIT_VEL,HIT_ANG_VER,R,RBI,NAME,GYEAR,GAMENUM,PA,AB,BA,HIT,HR,TOTB,SLG,SF,BB,KK,IB,HP,GD,AGE_VA,OBP,OPS
50165,145.06,22.1,14.0,25.0,라모스,2021,51,205,185,0.243,45,8,78,0.422,0,18,43,0,2,2,26,0.3170731707317073,0.7390731707317073
50357,144.575,8.850000000000001,4.0,3.0,박주홍,2021,22,56,47,0.106,5,0,7,0.149,0,9,21,0,0,1,20,0.25,0.399
50458,124.22,9.8,36.0,19.0,김지찬,2021,68,196,172,0.267,46,1,54,0.314,3,13,21,0,0,0,20,0.31382978723404253,0.6278297872340426
50506,136.1,15.8,55.0,37.0,마차도,2021,68,274,231,0.277,64,4,90,0.39,5,37,34,1,1,5,29,0.3722627737226277,0.7622627737226277
50704,143.205,13.65,6.0,8.0,임종찬,2021,31,115,103,0.155,16,1,24,0.233,0,9,41,0,1,1,19,0.23008849557522124,0.46308849557522125
50709,134.4,16.8,10.0,9.0,박정현,2021,33,120,107,0.196,21,0,25,0.234,1,9,32,0,0,1,19,0.2564102564102564,0.4904102564102564
50854,137.18,18.1,49.0,23.0,최지훈,2021,72,290,240,0.263,63,4,89,0.371,3,38,34,0,5,4,23,0.3706293706293706,0.7416293706293706
50923,144.03,21.55,49.0,53.0,알테어,2021,73,291,257,0.28,72,18,137,0.533,3,24,81,1,7,3,30,0.3539518900343643,0.8869518900343643
51003,133.06,6.6,14.0,6.0,권동진,2021,44,66,50,0.24,12,1,19,0.38,0,15,22,0,0,0,22,0.4153846153846154,0.7953846153846154
51004,145.53,11.5,18.0,36.0,알몬테,2021,60,250,225,0.271,61,7,91,0.404,2,22,50,0,1,9,32,0.336,0.74
51005,130.04000000000002,10.1,4.0,0.0,김건형,2021,11,39,33,0.212,7,0,8,0.242,0,6,6,1,0,0,24,0.3333333333333333,0.5753333333333333
51100,142.94,11.899999999999999,9.0,8.0,이영빈,2021,27,38,35,0.343,12,1,16,0.457,0,2,10,0,0,0,19,0.3783783783783784,0.8353783783783784
51203,137.11,18.5,24.0,12.0,안재석,2021,52,144,131,0.275,36,2,52,0.397,3,7,35,0,3,3,19,0.3194444444444444,0.7164444444444444
51324,141.46,13.6,13.0,14.0,프레이타스,2021,43,148,139,0.259,36,2,52,0.374,1,7,29,0,1,7,32,0.2972972972972973,0.6712972972972973
51344,136.02,24.9,9.0,8.0,김휘집,2021,18,60,42,0.167,7,1,11,0.262,1,12,17,0,2,0,19,0.3684210526315789,0.630421052631579
51463,141.39499999999998,15.25,75.0,75.0,피렐라,2021,80,361,324,0.312,101,20,177,0.546,2,30,45,1,5,3,31,0.3767313019390582,0.9227313019390582
51551,141.63,11.85,10.0,7.0,나승엽,2021,23,75,66,0.227,15,1,20,0.303,1,8,21,0,0,0,19,0.30666666666666664,0.6096666666666666
51725,134.465,15.75,27.0,37.0,힐리,2021,67,268,249,0.257,64,7,98,0.394,1,16,58,0,2,6,29,0.30597014925373134,0.6999701492537314
51817,148.075,15.5,47.0,45.0,추신수,2021,75,319,251,0.255,64,13,114,0.454,3,56,69,1,9,6,38,0.4043887147335423,0.8583887147335423
60343,135.26,23.1,4.0,4.0,이해창,2021,14,44,39,0.231,9,0,12,0.308,1,1,9,0,1,0,34,0.2619047619047619,0.5699047619047619
60523,139.255,14.05,53.0,54.0,정훈,2021,71,316,279,0.333,93,9,136,0.487,1,34,45,2,1,3,33,0.40634920634920635,0.8933492063492063
60558,141.215,16.6,25.0,18.0,오태곤,2021,67,127,119,0.252,30,4,46,0.387,0,8,32,0,0,3,29,0.2992125984251969,0.6862125984251969
61102,139.05,14.9,22.0,41.0,유강남,2021,69,247,221,0.253,56,5,81,0.367,2,16,36,0,7,7,28,0.32113821138211385,0.6881382113821138
61186,139.51999999999998,6.4,20.0,16.0,이천웅,2021,59,195,167,0.216,36,2,49,0.293,1,23,22,0,3,10,32,0.31958762886597936,0.6125876288659793
61197,134.98,12.6,7.0,5.0,최영진,2021,23,38,36,0.333,12,1,18,0.5,0,1,7,0,1,0,33,0.3684210526315789,0.868421052631579
61208,130.36,5.5,9.0,15.0,정진호,2021,47,167,145,0.228,33,0,42,0.29,2,15,22,1,1,5,32,0.3006134969325153,0.5906134969325153
61353,136.58499999999998,13.7,18.0,14.0,고종욱,2021,44,104,94,0.255,24,0,27,0.287,2,8,15,0,0,3,32,0.3076923076923077,0.5946923076923076
61404,139.825,7.35,25.0,14.0,김헌곤,2021,67,190,167,0.305,51,3,68,0.407,1,17,19,0,4,6,32,0.38095238095238093,0.787952380952381
61554,132.34,11.4,14.0,17.0,김민하,2021,42,134,108,0.213,23,1,32,0.296,2,16,35,0,8,3,32,0.35074626865671643,0.6467462686567165
61869,136.59,16.7,14.0,10.0,정진기,2021,28,76,71,0.197,14,2,23,0.324,0,3,16,0,0,0,28,0.22972972972972974,0.5537297297297298
62025,142.94,12.35,3.0,7.0,이원재,2021,31,69,65,0.231,15,0,17,0.262,1,1,11,0,1,1,32,0.25,0.512
62234,130.97,13.1,14.0,16.0,류지혁,2021,37,130,112,0.259,29,0,32,0.286,2,11,16,0,4,3,27,0.34108527131782945,0.6270852713178294
62244,137.73,9.7,10.0,15.0,박세혁,2021,33,105,87,0.241,21,0,25,0.287,1,12,14,0,4,2,31,0.3557692307692308,0.6427692307692308
62404,141.06,15.7,75.0,59.0,구자욱,2021,76,336,296,0.28,83,11,139,0.47,7,30,55,2,2,6,28,0.34328358208955223,0.8132835820895522
62415,131.81,14.9,59.0,39.0,박해민,2021,77,327,275,0.302,83,4,111,0.404,4,38,46,2,2,0,31,0.38557993730407525,0.7895799373040753
62556,139.95,10.600000000000001,14.0,10.0,신본기,2021,41,108,90,0.2,18,0,22,0.244,0,13,25,0,2,2,32,0.3142857142857143,0.5582857142857143
62558,140.73,20.25,17.0,15.0,김준태,2021,47,131,111,0.207,23,4,40,0.36,2,17,35,0,1,2,26,0.31297709923664124,0.6729770992366413
62700,135.0,13.4,57.0,45.0,하주석,2021,75,324,287,0.282,81,4,116,0.404,0,31,74,0,5,3,27,0.3622291021671827,0.7662291021671828
62864,132.6,19.7,20.0,15.0,김민식,2021,51,154,123,0.228,28,2,40,0.325,1,29,29,1,0,2,32,0.37254901960784315,0.6975490196078431
62895,140.41,18.2,40.0,55.0,한유섬,2021,73,284,238,0.261,62,13,113,0.475,4,32,60,2,9,5,31,0.36395759717314485,0.8389575971731449
62907,134.51,11.0,30.0,18.0,박민우,2021,50,215,180,0.261,47,1,61,0.339,2,22,23,0,7,4,28,0.36018957345971564,0.6991895734597157
