PCODE,HIT_VEL,HIT_ANG_VER,R,RBI,NAME,GYEAR,GAMENUM,PA,AB,BA,HIT,HR,TOTB,SLG,SF,BB,KK,IB,HP,GD,AGE_VA,OBP,OPS
50054,132.615,14.9,9.0,1.0,천성호,2020,66,77,69,0.203,14,0,17,0.246,0,7,15,0,1,0,22,0.2857142857142857,0.5317142857142857
50165,150.32,22.95,74.0,86.0,라모스,2020,117,494,431,0.278,120,38,255,0.592,4,55,136,5,4,7,25,0.3623481781376518,0.9543481781376517
50202,135.93,5.9,10.0,3.0,안권수,2020,68,41,37,0.27,10,0,10,0.27,1,2,5,0,0,1,27,0.3,0.5700000000000001
50300,142.94,30.7,4.0,3.0,모터,2020,10,37,35,0.114,4,1,7,0.2,1,1,10,0,0,0,30,0.13513513513513514,0.33513513513513515
50350,141.19,14.75,22.0,31.0,러셀,2020,65,271,244,0.254,62,2,82,0.336,3,22,37,1,2,6,26,0.3173431734317343,0.6533431734317343
50458,124.3,13.5,47.0,13.0,김지찬,2020,135,287,254,0.232,59,1,69,0.272,2,24,44,0,2,1,19,0.30141843971631205,0.573418439716312
50468,146.34,15.5,26.0,27.0,살라디노,2020,44,163,132,0.28,37,6,63,0.477,1,23,41,0,7,3,30,0.4110429447852761,0.888042944785276
50469,138.85,15.7,17.0,23.0,팔카,2020,51,217,196,0.209,41,8,72,0.367,3,18,58,0,0,5,28,0.271889400921659,0.638889400921659
50506,137.5,16.9,79.0,67.0,마차도,2020,144,560,486,0.28,136,12,205,0.422,8,54,60,2,8,20,28,0.35611510791366907,0.778115107913669
50600,126.79,9.0,7.0,7.0,홍종표,2020,40,88,80,0.25,20,0,23,0.288,1,4,13,0,0,1,20,0.2823529411764706,0.5703529411764705
50704,139.06,18.3,5.0,12.0,임종찬,2020,52,119,108,0.231,25,1,33,0.306,0,9,38,0,1,2,18,0.2966101694915254,0.6026101694915253
50707,131.05,11.1,8.0,8.0,최인호,2020,47,135,127,0.236,30,0,30,0.236,2,4,34,0,1,3,20,0.26119402985074625,0.49719402985074623
50709,137.77499999999998,7.55,6.0,9.0,박정현,2020,30,64,61,0.279,17,1,23,0.377,0,3,17,0,0,2,18,0.3125,0.6895
50730,135.96,18.3,38.0,42.0,반즈,2020,74,319,283,0.265,75,9,121,0.428,2,27,81,1,7,4,34,0.34169278996865204,0.7696927899686521
50854,133.59,14.9,66.0,27.0,최지훈,2020,127,520,466,0.258,120,1,152,0.326,3,38,80,0,5,4,22,0.318359375,0.6443593750000001
50923,143.18,20.85,90.0,108.0,알테어,2020,136,546,482,0.278,134,31,261,0.541,6,46,149,3,12,10,29,0.3516483516483517,0.8926483516483517
60288,136.8,9.4,7.0,5.0,김응민,2020,45,85,76,0.224,17,0,18,0.237,0,5,22,0,1,1,28,0.2804878048780488,0.5174878048780488
60343,133.41000000000003,18.200000000000003,11.0,17.0,이해창,2020,70,135,119,0.269,32,3,46,0.387,2,9,23,0,4,6,33,0.3358208955223881,0.722820895522388
60523,139.01,15.4,72.0,58.0,정훈,2020,111,476,410,0.295,121,11,175,0.427,4,56,85,0,4,8,32,0.3818565400843882,0.8088565400843881
60558,139.04500000000002,12.05,36.0,35.0,오태곤,2020,94,258,234,0.274,64,5,93,0.397,0,13,47,0,7,6,28,0.33070866141732286,0.7277086614173229
60566,124.43,21.450000000000003,18.0,4.0,이상호,2020,82,65,61,0.131,8,0,9,0.148,0,3,5,0,0,2,31,0.171875,0.319875
61102,140.575,17.0,51.0,75.0,유강남,2020,137,478,429,0.261,112,16,178,0.415,2,32,84,1,13,18,27,0.32983193277310924,0.7448319327731092
61186,137.94,12.0,44.0,36.0,이천웅,2020,89,359,312,0.256,80,3,104,0.333,6,35,44,0,4,7,31,0.3333333333333333,0.6663333333333333
61197,138.07,6.3,15.0,11.0,최영진,2020,58,118,101,0.297,30,1,36,0.356,1,13,16,0,2,3,32,0.38461538461538464,0.7406153846153847
61204,132.38,5.7,23.0,5.0,김동한,2020,82,73,68,0.221,15,0,20,0.294,0,5,8,0,0,2,32,0.273972602739726,0.567972602739726
61208,136.13,9.45,30.0,19.0,정진호,2020,113,326,282,0.277,78,2,100,0.355,2,29,50,1,3,5,31,0.34810126582278483,0.7031012658227849
61353,139.91000000000003,9.25,24.0,26.0,고종욱,2020,92,288,272,0.283,77,3,101,0.371,1,14,55,0,1,3,31,0.3194444444444444,0.6904444444444444
61404,133.97,12.5,26.0,34.0,김헌곤,2020,97,283,254,0.248,63,3,80,0.315,3,22,31,0,3,7,31,0.3120567375886525,0.6270567375886524
61554,135.2,12.4,10.0,11.0,김민하,2020,36,85,74,0.284,21,1,30,0.405,0,8,16,0,2,2,31,0.36904761904761907,0.7740476190476191
61566,139.94,15.45,5.0,6.0,허일,2020,60,95,84,0.179,15,1,22,0.262,0,8,29,0,1,4,27,0.25806451612903225,0.5200645161290323
61700,134.03,13.15,25.0,19.0,강경학,2020,94,238,193,0.228,44,4,65,0.337,2,35,64,0,3,2,27,0.351931330472103,0.688931330472103
61743,139.59,15.9,19.0,18.0,오준혁,2020,70,161,148,0.27,40,3,56,0.378,1,11,34,1,1,1,28,0.32298136645962733,0.7009813664596274
61869,141.44,11.7,14.0,15.0,정진기,2020,50,140,126,0.238,30,2,42,0.333,2,7,34,1,1,2,27,0.27941176470588236,0.6124117647058824
62025,139.01999999999998,13.65,15.0,17.0,이원재,2020,73,146,132,0.258,34,4,55,0.417,1,11,26,1,0,3,31,0.3125,0.7295
