PCODE,HIT_VEL,HIT_ANG_VER,R,RBI,NAME,GYEAR,GAMENUM,PA,AB,BA,HIT,HR,TOTB,SLG,SF,BB,KK,IB,HP,GD,AGE_VA,OBP,OPS
60100,146.37,15.7,4.0,3.0,백창수,2019,16,48,44,0.227,10,0,13,0.295,0,0,18,0,2,1,31,0.2608695652173913,0.5558695652173913
60523,138.29,14.1,26.0,17.0,정훈,2019,88,222,190,0.226,43,2,55,0.289,1,23,47,1,5,4,31,0.3242009132420091,0.6132009132420091
60558,137.33,14.1,63.0,35.0,오태곤,2019,123,392,352,0.25,88,6,124,0.352,2,31,78,0,4,8,27,0.3161953727506427,0.6681953727506427
60566,130.8,7.1,30.0,12.0,이상호,2019,102,256,234,0.278,65,0,72,0.308,3,9,22,0,2,10,30,0.3064516129032258,0.6144516129032258
61102,144.21,16.1,44.0,49.0,유강남,2019,132,468,418,0.27,113,16,183,0.438,6,30,82,2,13,21,26,0.3340471092077088,0.7720471092077088
61186,140.44,7.6,88.0,48.0,이천웅,2019,138,613,546,0.308,168,2,204,0.374,1,57,82,1,5,13,30,0.37766830870279144,0.7516683087027914
61197,132.89,12.8,29.0,20.0,최영진,2019,96,275,251,0.251,63,5,95,0.378,0,14,47,2,2,4,31,0.2958801498127341,0.673880149812734
61204,128.25,15.5,9.0,2.0,김동한,2019,42,85,78,0.282,22,0,26,0.333,0,6,15,0,0,1,31,0.3333333333333333,0.6663333333333333
61208,132.26,10.600000000000001,13.0,3.0,정진호,2019,66,110,96,0.208,20,1,23,0.24,0,11,24,0,0,2,30,0.2897196261682243,0.5297196261682242
61353,140.095,7.9,76.0,56.0,고종욱,2019,137,513,492,0.323,159,3,207,0.421,2,18,89,1,1,5,30,0.3469785575048733,0.7679785575048732
61404,133.575,12.55,57.0,46.0,김헌곤,2019,114,467,411,0.297,122,5,159,0.387,6,37,41,1,8,18,30,0.36147186147186144,0.7484718614718615
61554,132.52499999999998,13.4,14.0,14.0,김민하,2019,72,140,125,0.256,32,2,44,0.352,1,9,41,0,3,4,30,0.3188405797101449,0.6708405797101449
61566,134.57,7.7,14.0,17.0,허일,2019,71,162,149,0.255,38,1,45,0.302,0,12,28,0,1,1,26,0.3148148148148148,0.6168148148148148
61700,132.5,14.649999999999999,21.0,12.0,강경학,2019,52,135,113,0.239,27,0,31,0.274,1,15,32,0,3,3,26,0.3409090909090909,0.6149090909090908
62025,139.34,12.7,31.0,35.0,이원재,2019,94,285,256,0.258,66,8,101,0.395,3,20,47,0,1,5,30,0.3107142857142857,0.7057142857142857
62234,131.4,12.5,36.0,34.0,류지혁,2019,118,316,276,0.25,69,0,79,0.286,3,24,40,0,7,6,25,0.3225806451612903,0.6085806451612903
62244,134.62,13.5,58.0,63.0,박세혁,2019,137,505,441,0.279,123,4,172,0.39,6,41,68,1,7,5,29,0.34545454545454546,0.7354545454545455
62265,138.23,11.8,23.0,26.0,유민상,2019,61,202,175,0.291,51,5,81,0.463,0,24,35,0,3,6,30,0.38613861386138615,0.8491386138613861
62353,131.89999999999998,14.55,13.0,7.0,박정음,2019,60,88,71,0.197,14,0,18,0.254,0,11,31,0,5,1,30,0.3448275862068966,0.5988275862068966
62356,141.115,10.65,33.0,24.0,김규민,2019,94,250,222,0.248,55,3,74,0.333,2,22,68,0,4,4,26,0.324,0.657
62404,137.21,18.8,66.0,71.0,구자욱,2019,122,526,475,0.267,127,15,211,0.444,6,38,88,2,7,5,26,0.3269961977186312,0.7709961977186313
62409,132.26,-4.0,10.0,2.0,박찬도,2019,30,34,32,0.281,9,0,10,0.313,0,2,10,1,0,0,30,0.3235294117647059,0.6365294117647059
62415,132.59,15.8,64.0,44.0,박해민,2019,144,581,506,0.239,121,5,166,0.328,3,58,82,0,2,4,29,0.3181019332161687,0.6461019332161687
62556,133.23,11.9,43.0,26.0,신본기,2019,121,413,375,0.256,96,1,108,0.288,1,24,62,1,8,9,30,0.3137254901960784,0.6017254901960785
62558,135.085,12.100000000000001,10.0,8.0,김준태,2019,43,104,88,0.159,14,0,17,0.193,0,12,23,0,2,1,24,0.27450980392156865,0.46750980392156866
62797,131.76,9.350000000000001,11.0,6.0,양성우,2019,56,129,119,0.168,20,1,26,0.218,0,9,28,0,0,2,30,0.2265625,0.44456249999999997
62802,133.81,13.75,21.0,13.0,박승욱,2019,101,245,223,0.233,52,3,72,0.323,0,14,50,0,2,5,26,0.28451882845188287,0.6075188284518829
62864,134.51,15.5,6.0,14.0,김민식,2019,53,116,96,0.167,16,0,18,0.188,2,15,29,0,3,1,30,0.29310344827586204,0.48110344827586204
62884,131.02,13.6,12.0,14.0,최항,2019,52,147,127,0.228,29,0,34,0.268,1,16,24,0,2,3,25,0.3219178082191781,0.589917808219178
62895,141.215,13.6,52.0,52.0,한동민,2019,125,502,427,0.265,113,12,169,0.396,0,55,100,4,20,6,29,0.3745019920318725,0.7705019920318725
62907,134.02,13.5,89.0,45.0,박민우,2019,125,526,468,0.344,161,1,203,0.434,6,41,40,1,9,10,26,0.4026717557251908,0.8366717557251908
62908,131.765,15.0,9.0,9.0,황윤호,2019,57,130,123,0.301,37,1,49,0.398,1,5,12,0,0,2,25,0.32558139534883723,0.7235813953488373
62925,145.22,17.1,11.0,14.0,강진성,2019,41,104,97,0.247,24,2,36,0.371,0,3,20,0,4,6,25,0.2980769230769231,0.6690769230769231
62931,141.265,18.8,51.0,43.0,노진혁,2019,110,390,348,0.264,92,13,158,0.454,3,31,80,2,2,7,29,0.3255208333333333,0.7795208333333333
62934,136.31,19.8,38.0,36.0,김성욱,2019,116,333,287,0.23,66,9,111,0.387,5,29,69,1,3,4,26,0.30246913580246915,0.6894691358024692
62947,145.28,19.7,19.0,14.0,나성범,2019,23,106,93,0.366,34,4,60,0.645,0,12,26,0,1,2,29,0.44339622641509435,1.0883962264150944
63123,122.28,24.65,5.0,5.0,강승호,2019,15,42,39,0.154,6,2,12,0.308,0,2,18,0,0,1,25,0.1951219512195122,0.5031219512195122
